# Колонка 5 = вольты, источник истины для регулятора мощности.
# Колонка 6 = ватты для эталонного ТЭНа 3480 Вт/230 В (R=15.2 Ом), запасной путь, когда сопротивление ТЭНа не задано в настройках.
0;0.07;30;H;135;1199
0;0.1;20;H;0;0
1;0.2;20;H;0;0
2;0.3;20;H;0;0
3;0.4;10;H;140;1289
0;300;0;P;145;1383
4;1;10;B;140;1289
4;0.9;40;B;0;0
0;200;0;P;173;1969
0;200;0;P;170;1901
5;1.1;40;C;3;68
6;0.8;5;C;0;0
6;0.6;3;C;0;0
6;0.4;2;B;140;1289
7;0.2;10;T;140;1289
8;0.4;30;T;160;1684
9;0.5;60;T;0;0
10;1.4;40;T;0;0
10;1.4;40;T;0;0
